text,label
Phụ nữ mang thai có dễ bị sỏi thận không?,0
Suggest a place for reliable PCR test testing.,1
"Tôi cần tư vấn dinh dưỡng cho người bị cao huyết áp, liên hệ ai?",1
What are the main causes of asthma?,0
Which hospital is best for treating anxiety?,1
Bạn có thể gợi ý giúp tôi bác sĩ Thần kinh giỏi tại Huế để tôi đặt lịch khám không?,1
Làm sao để tăng cường hệ miễn dịch chống lại gút (gout)?,0
Xin đánh giá về khoa Tai Mũi Họng của bệnh viện Từ Dũ.,1
Can you help me book an appointment for blood test?,1
"Tôi cần tư vấn dinh dưỡng cho người bị viêm xoang, liên hệ ai?",1
Bạn có thể gợi ý chuyên gia tâm lý nào tư vấn tốt về viêm xoang để tôi liên hệ không?,1
Có những bài tập nào giúp cải thiện đau dạ dày?,0
Khói thuốc lá ảnh hưởng thế nào đến cột sống?,0
Biến chứng nguy hiểm nhất của đau nửa đầu là gì?,0
Tác dụng phụ thường gặp khi dùng thuốc trị hen suyễn?,0
Bác sĩ Thần kinh nào mát tay ở Huế?,1
Uống nhiều rượu bia có tốt cho người bị viêm xoang không?,0
Gợi ý cho tôi bác sĩ giỏi chữa trầm cảm tại Hải Phòng.,1
Uống nhiều nước dừa có tốt cho người bị hen suyễn không?,0
"Tôi muốn mua dịch vụ khám sức khỏe tổng quát, bên nào uy tín?",1
Làm sao để tăng cường hệ miễn dịch chống lại cao huyết áp?,0
What role does protein play in preventing depression?,0
Chỉ số creatinin cao có ý nghĩa gì?,0
Dấu hiệu nhận biết sớm của cao huyết áp là gì?,0
Xin địa chỉ xét nghiệm cholesterol lấy kết quả nhanh.,1
Sự khác biệt giữa viêm họng hạt và viêm amidan?,0
Tìm phòng khám nhi chuyên trị đau nhức xương khớp cho trẻ sơ sinh.,1
Where can I get a blood test done quickly?,1
What is the difference between Covid-19 and type 2 diabetes?,0
"Tôi bị rụng tóc nhiều kéo dài, cần đăng ký khám khoa nào?",1
Ảnh hưởng của việc thiếu omega-3 đến cơ thể?,0
What is the difference between a cold and type 2 diabetes?,0
What role does iron play in preventing diabetes?,0
"Tôi muốn tầm soát ung thư tim mạch, dịch vụ nào phù hợp?",1
Nguyên nhân nào dẫn đến tình trạng rối loạn tiền đình?,0
How does aging affect gut health?,0
What are the main causes of anxiety?,0
Are there any 24/7 emergency rooms near Hoan Kiem?,1
Suggest a place for reliable blood sugar test testing.,1
"Tôi muốn tầm soát ung thư cột sống, dịch vụ nào phù hợp?",1
"Tôi bị ho có đờm kéo dài, cần đăng ký khám khoa nào?",1
Có cách nào giảm nhẹ mỏi mắt tại nhà không?,0
