text,business_type,location_code,price_op,price_amount,price_max,distance_meters,distance_implicit
massage tri lieu,MASSAGE_REHABILITATION,,,,,,
phong kham dong y,TRADITIONAL_MEDICINE,,,,,,
massage khoang 400k gan day,MASSAGE_THERAPY,,between,340000,460000,10000,true
phong kham dong y o thu duc khoang 1 trieu,TRADITIONAL_MEDICINE,762,between,850000,1150000,,
spa o quan 1 gan day,SPA_BEAUTY,760,,,,10000,true
yoga o ha noi lan can,FITNESS,01,,,,10000,true
phong kham o q3 cach 2 cay so,TRADITIONAL_MEDICINE,770,,,,2000,false
hieu thuoc o q10 gan nha,PHARMACY,771,,,,10000,true
phong kham dong y o thu duc trong vong 10km,TRADITIONAL_MEDICINE,762,,,,10000,false
gym o binh thanh cach 1 cay so,FITNESS,765,,,,1000,false
spa duoi 500k gan day,SPA_BEAUTY,,lte,500000,,10000,true
spa tu 100k den 300k gan day,SPA_BEAUTY,,between,100000,300000,10000,true
phong kham gia 800k lan can,TRADITIONAL_MEDICINE,,between,680000,920000,10000,true
yoga tren 200k gan nha,FITNESS,,gte,200000,,10000,true
hieu thuoc duoi 300k trong vong 3km,PHARMACY,,lte,300000,,3000,false
phong kham dong y khoang 1 trieu trong vong 10km,TRADITIONAL_MEDICINE,,between,850000,1150000,10000,false
gym khoang 500k cach 1 cay so,FITNESS,,between,425000,575000,1000,false
massage gia 2tr xung quanh day,MASSAGE_THERAPY,,between,1700000,2300000,10000,true
nha khoa gia 1.5 trieu trong vong 3km,DENTAL,,between,1275000,1725000,3000,false
spa tu 200k den 400k gan day,SPA_BEAUTY,,between,200000,400000,10000,true
trung tam yoga o q7 gia 250k trong vong 2km,FITNESS,778,between,212500,287500,2000,false
cho tap gym re q7,FITNESS,778,lte,300000,,,
Tìm spa,SPA_BEAUTY,,,,,,
Cần gym,FITNESS,,,,,,
Tìm nha sĩ,DENTAL,,,,,,
Phòng khám nha khoa,DENTAL,,,,,,
Massage trị liệu,MASSAGE_REHABILITATION,,,,,,
Tiệm làm đẹp,SPA_BEAUTY,,,,,,
Hiệu thuốc,PHARMACY,,,,,,
Phòng khám đa khoa,TRADITIONAL_MEDICINE,,,,,,
Trung tâm yoga,FITNESS,,,,,,
Phòng khám đông y,TRADITIONAL_MEDICINE,,,,,,
Spa thư giãn,SPA_BEAUTY,,,,,,
Phòng khám da liễu,DERMATOLOGY,,,,,,
Dịch vụ ở Quận 1,,760,,,,,
Ở Q1,,760,,,,,
Khu vực Q.1,,760,,,,,
Ở quận một,,760,,,,,
